metric,type,baseline,tta,delta,baseline_pct,tta_pct,delta_points
MHR_1@8,strict,0.252167,0.305333,0.05316600000000005,25.22,30.53,+5.32
MHR_2@8,strict,0.261667,0.341667,0.08000000000000002,26.17,34.17,+8.00
MHR_3@8,strict,0.262167,0.346333,0.08416600000000002,26.22,34.63,+8.42
MHR_4@8,strict,0.262167,0.348,0.08583299999999999,26.22,34.80,+8.58
MHR_5@8,strict,0.262167,0.349,0.086833,26.22,34.90,+8.68
MHR_6@8,strict,0.262167,0.349,0.086833,26.22,34.90,+8.68
MHR_7@8,strict,0.262167,0.349,0.086833,26.22,34.90,+8.68
MHR_final@8,strict,0.262167,0.349,0.086833,26.22,34.90,+8.68
title_only_MHR_1@8,title_only,0.295667,0.338333,0.04266599999999998,29.57,33.83,+4.27
title_only_MHR_2@8,title_only,0.312333,0.384833,0.07249999999999995,31.23,38.48,+7.25
title_only_MHR_3@8,title_only,0.313833,0.390167,0.07633400000000001,31.38,39.02,+7.63
title_only_MHR_4@8,title_only,0.313833,0.391167,0.07733400000000001,31.38,39.12,+7.73
title_only_MHR_5@8,title_only,0.313833,0.392167,0.07833400000000001,31.38,39.22,+7.83
title_only_MHR_6@8,title_only,0.313833,0.392167,0.07833400000000001,31.38,39.22,+7.83
title_only_MHR_7@8,title_only,0.313833,0.393333,0.07950000000000002,31.38,39.33,+7.95
title_only_MHR_final@8,title_only,0.313833,0.393333,0.07950000000000002,31.38,39.33,+7.95
